xy_axis1_nm,xy_axis2_nm,|E/E0|^2
1.099218750000000000e+02,-1.296093750000000000e+02,7.843655418411163982e-01
1.115625000000000000e+02,-1.296093750000000000e+02,7.854424484758654179e-01
1.132031250000000000e+02,-1.296093750000000000e+02,7.863318405359325247e-01
1.148437500000000000e+02,-1.296093750000000000e+02,7.870442765558591791e-01
1.164843750000000000e+02,-1.296093750000000000e+02,7.875901256982733578e-01
1.181250000000000000e+02,-1.296093750000000000e+02,7.879795479651939827e-01
1.197656250000000000e+02,-1.296093750000000000e+02,7.882224771502202021e-01
1.214062500000000000e+02,-1.296093750000000000e+02,7.883286063401948596e-01
1.230468750000000000e+02,-1.296093750000000000e+02,7.883073757790663993e-01
1.246875000000000000e+02,-1.296093750000000000e+02,7.881679629119351382e-01
1.263281250000000000e+02,-1.296093750000000000e+02,7.879192744334404530e-01
1.279687500000000000e+02,-1.296093750000000000e+02,7.875699401715126058e-01
1.296093750000000000e+02,-1.296093750000000000e+02,7.871283086449529787e-01
1.312500000000000000e+02,-1.296093750000000000e+02,7.866024441410771617e-01
-1.312500000000000000e+02,-1.279687500000000000e+02,7.962013776719663039e-01
-1.296093750000000000e+02,-1.279687500000000000e+02,7.970086906820467165e-01
-1.279687500000000000e+02,-1.279687500000000000e+02,7.977331734886043968e-01
-1.263281250000000000e+02,-1.279687500000000000e+02,7.983663967636374093e-01
-1.246875000000000000e+02,-1.279687500000000000e+02,7.988996163036735654e-01
-1.230468750000000000e+02,-1.279687500000000000e+02,7.993237745788470683e-01
-1.214062500000000000e+02,-1.279687500000000000e+02,7.996295038256223675e-01
-1.197656250000000000e+02,-1.279687500000000000e+02,7.998071308501509824e-01
-1.181250000000000000e+02,-1.279687500000000000e+02,7.998466837187316880e-01
-1.164843750000000000e+02,-1.279687500000000000e+02,7.997379005209774849e-01
-1.148437500000000000e+02,-1.279687500000000000e+02,7.994702403999748297e-01
-1.132031250000000000e+02,-1.279687500000000000e+02,7.990328970518145724e-01
-1.115625000000000000e+02,-1.279687500000000000e+02,7.984148149040872777e-01
-1.099218750000000000e+02,-1.279687500000000000e+02,7.976047081890896839e-01
-1.082812500000000000e+02,-1.279687500000000000e+02,7.965910831323292918e-01
-1.066406250000000000e+02,-1.279687500000000000e+02,7.953622634801329472e-01
-1.050000000000000000e+02,-1.279687500000000000e+02,7.939064195914496969e-01
-1.033593750000000000e+02,-1.279687500000000000e+02,7.922116013179751892e-01
-1.017187500000000000e+02,-1.279687500000000000e+02,7.902657748931362081e-01
-1.000781250000000000e+02,-1.279687500000000000e+02,7.880568640438404548e-01
-9.843750000000000000e+01,-1.279687500000000000e+02,7.855727955288658304e-01
-9.679687500000000000e+01,-1.279687500000000000e+02,7.828015492938679154e-01
-9.515625000000000000e+01,-1.279687500000000000e+02,7.797312134147578178e-01
-9.351562500000000000e+01,-1.279687500000000000e+02,7.763500439782905493e-01
-9.187500000000000000e+01,-1.279687500000000000e+02,7.726465300205292985e-01
-9.023437500000000000e+01,-1.279687500000000000e+02,7.686094636100843092e-01
-8.859375000000000000e+01,-1.279687500000000000e+02,7.642280151232073715e-01
-8.695312500000000000e+01,-1.279687500000000000e+02,7.594918137115381773e-01
-8.531250000000000000e+01,-1.279687500000000000e+02,7.543910329103012957e-01
-8.367187500000000000e+01,-1.279687500000000000e+02,7.489164812746706978e-01
-8.203125000000000000e+01,-1.279687500000000000e+02,7.430596978647510120e-01
-8.039062500000000000e+01,-1.279687500000000000e+02,7.368130523250426833e-01
-7.875000000000000000e+01,-1.279687500000000000e+02,7.301698492224234505e-01
-7.710937500000000000e+01,-1.279687500000000000e+02,7.231244362177593477e-01
-7.546875000000000000e+01,-1.279687500000000000e+02,7.156723155506807821e-01
-7.382812500000000000e+01,-1.279687500000000000e+02,7.078102582152485667e-01
-7.218750000000000000e+01,-1.279687500000000000e+02,6.995364200971112556e-01
-7.054687500000000000e+01,-1.279687500000000000e+02,6.908504592312190162e-01
-6.890625000000000000e+01,-1.279687500000000000e+02,6.817536532244692360e-01
-6.726562500000000000e+01,-1.279687500000000000e+02,6.722490157714466896e-01
-6.562500000000000000e+01,-1.279687500000000000e+02,6.623414110753201856e-01
-6.398437500000000000e+01,-1.279687500000000000e+02,6.520376648722601143e-01
-6.234375000000000000e+01,-1.279687500000000000e+02,6.413466706486221636e-01
-6.070312500000000000e+01,-1.279687500000000000e+02,6.302794895383874163e-01
-5.906250000000000000e+01,-1.279687500000000000e+02,6.188494422967566466e-01
-5.742187500000000000e+01,-1.279687500000000000e+02,6.070721916674866048e-01
